iterations,sampled,rrgsize,movement,remaining,total,time
52,2880,2601,47.919353,17.507448,65.4268,10414.163924
23,1338,1151,24.771969,18.479292,43.25126,4063.124684
36,2007,1801,32.699448,17.120602,49.82005,6432.620316
39,2383,1951,39.61581,19.50659,59.1224,7227.663384
29,1679,1451,20.058315,17.339659,37.397972,5488.202567
31,1757,1551,42.46121,13.704961,56.16617,5320.584205
29,1601,1451,36.434803,16.433168,52.867973,4886.421973
25,1421,1251,30.005201,16.667038,46.67224,4312.715582
30,1641,1501,38.73929,22.328327,61.067616,5326.641862
26,1479,1301,23.336533,17.664896,41.001427,5043.920343
44,2440,2201,38.56911,16.410454,54.979565,7563.577256
26,1491,1301,37.01708,17.68546,54.702538,4615.804774
33,1866,1651,35.02434,22.165144,57.189484,6238.755143
30,1731,1501,41.344555,11.490837,52.835392,5874.685491
34,1944,1701,48.64425,16.683338,65.32759,6059.031787
24,1333,1201,26.598701,23.300087,49.89879,3829.69132
31,1742,1551,40.231533,17.375698,57.60723,5419.805599
36,2019,1801,32.858604,21.873756,54.73236,5609.250855
34,1888,1701,37.931736,24.199305,62.131042,6144.15725
42,2307,2101,40.658,10.913965,51.571968,7225.083334
50,2730,2501,44.35603,21.872423,66.228455,10641.94959
65,3611,3251,42.538265,16.480453,59.01872,13525.210723
28,1626,1401,37.683254,20.881933,58.565186,5074.236038
26,1446,1301,27.472437,17.080336,44.552773,4556.471869
38,2185,1901,39.171253,17.405363,56.576614,6829.885365
25,1406,1251,32.624233,26.211145,58.83538,5175.928144
22,1249,1101,23.611105,15.273102,38.88421,3856.132688
26,1480,1301,40.060265,19.127016,59.18728,4610.820163
44,2455,2201,50.610054,23.030035,73.64009,8240.235536
37,2106,1851,36.03059,12.198116,48.228706,6552.642647
19,1045,951,22.11237,16.9161,39.02847,3482.660972
30,1680,1501,41.5579,12.188392,53.746292,5178.941918
53,2955,2651,37.55792,25.546402,63.10432,10360.134566
