iterations,sampled,rrgsize,movement,remaining,total,time
45,23552,2251,37.41682,7.0328007,44.449623,10139.419706
37,20108,1851,25.272745,1.7921466,27.064892,7773.502393
40,21348,2001,28.219965,1.1362209,29.356186,8129.878182
38,20692,1901,29.974943,1.3616489,31.336592,8537.651129
36,19640,1802,24.652042,2.1641693,26.816212,7370.075452
37,20192,1852,31.028896,0,31.028896,7374.347047
34,18671,1701,24.112703,1.2625275,25.37523,6515.431663
30,16472,1501,27.065542,0,27.065542,5782.921303
34,18338,1701,29.628695,0.3683001,29.996994,6383.511335
34,19697,1701,29.502298,0,29.502298,7528.428646
31,17649,1551,23.241444,1.9309597,25.172403,6322.662527
31,17341,1551,21.093822,4.465651,25.559473,5926.052403
34,18798,1701,25.686388,0,25.686388,6272.359058
28,15586,1402,20.917585,5.410546,26.32813,5635.53925
33,18877,1652,24.368382,1.0412896,25.409672,6040.491659
30,16880,1501,22.723942,4.365165,27.089108,6076.217999
35,18230,1751,24.111946,0.19493587,24.306883,6872.335357
37,20254,1851,27.776646,0,27.776646,7682.51526
40,21761,2001,27.696716,0,27.696716,7474.468105
36,19676,1801,24.544716,3.571047,28.115763,7842.280082
36,20686,1801,32.454926,0.08694606,32.54187,6526.927915
35,19116,1751,23.981611,0,23.981611,7626.813181
37,20819,1851,37.3748,0.48580945,37.86061,8077.000796
37,20040,1851,28.537308,0,28.537308,7427.386302
33,18464,1651,20.5516,5.17901,25.73061,6941.145424
36,20010,1801,30.309967,2.0802994,32.390266,6906.257063
37,21171,1851,26.469753,3.9869583,30.45671,6722.72947
34,18738,1701,28.949345,1.1600544,30.1094,6630.76013
33,18439,1651,23.806967,1.2215608,25.028528,7209.860078
31,16901,1551,21.835695,2.9119203,24.747616,6396.556391
37,19992,1851,24.975254,0,24.975254,7119.04278
35,18967,1751,34.79136,0,34.79136,7104.387144
34,18294,1701,31.416441,0,31.416441,7265.938254
30,16714,1502,24.252567,4.7319436,28.98451,5942.375948
35,20505,1751,27.537014,4.456906,31.99392,6908.032577
40,23169,2001,37.463673,0,37.463673,8616.048874
34,18237,1701,30.419199,0,30.419199,7176.247189
29,16013,1451,25.487986,0,25.487986,6220.263097
33,18820,1651,26.909058,0,26.909058,5829.065062
38,20293,1902,36.996754,0,36.996754,8372.483609
33,17902,1651,25.237436,5.0908313,30.328268,6536.470374
93,51514,4652,51.441868,0.92915267,52.37102,25913.51823
36,20163,1801,33.15406,0.6016034,33.755665,6876.708937
33,17784,1651,23.450306,1.320432,24.770739,6564.430317
32,18207,1601,23.97925,0.91669124,24.89594,6217.231391
40,21108,2001,28.926529,0.1463468,29.072876,8927.985034
37,19653,1851,31.202303,0.92923105,32.131535,7781.146544
35,19501,1751,24.262121,1.670786,25.932907,8134.476419
34,18479,1701,24.177366,0.22732458,24.404692,6774.296397
35,18849,1751,29.20761,0,29.20761,7581.440774
31,16708,1551,22.793764,0.67038655,23.464151,6121.548707
36,20526,1801,25.992609,0.65861297,26.651222,6600.973024
36,19190,1803,27.782612,2.2740977,30.05671,7025.359112
35,18953,1752,26.37067,3.4110508,29.781721,6751.725561
31,17106,1551,30.22106,0,30.22106,5575.242189
38,20843,1902,40.870373,0,40.870373,8892.828314
39,21920,1951,40.65871,4.609209,45.26792,8283.809633
27,15093,1351,19.980713,2.7661724,22.746885,5614.170035
35,19655,1751,23.601213,0,23.601213,7722.473014
31,17632,1552,22.990822,0.9327308,23.923553,5895.103482
30,17123,1501,22.765873,3.682804,26.448677,5722.082677
33,18432,1651,26.716383,0,26.716383,6380.548883
37,21166,1851,33.34758,0.09024182,33.43782,7760.841895
30,17618,1501,24.848492,0.5652868,25.413778,5150.352995
36,19908,1801,26.686556,0.30324954,26.989805,6662.196087
32,17891,1601,25.172838,0.727574,25.900412,6068.366831
