iterations,sampled,rrgsize,movement,remaining,total,time
41,23822,2052,50.049995,23.054245,73.10424,8579.099948
35,20720,1752,65.00001,32.087387,97.087395,7689.984574
41,23694,2052,65.00001,27.065273,92.06528,8887.29942
43,24643,2152,65.00001,26.998436,91.99844,9022.939686
40,23418,2002,48.499992,23.41646,71.91645,8010.836573
61,34028,3052,48.499992,22.980782,71.480774,12259.173453
54,30436,2702,48.499992,20.452652,68.952644,11079.946136
59,33890,2952,50.549995,29.002916,79.55291,12131.770759
33,20387,1652,50.549995,24.114105,74.6641,6976.43502
33,19337,1652,50.549995,29.457836,80.00783,6814.271416
46,27292,2302,48.89999,23.398777,72.29877,10144.730422
51,29348,2552,48.89999,22.038414,70.9384,10415.443619
51,29375,2552,48.89999,23.950876,72.85087,10020.871968
43,25765,2152,53.09999,26.513685,79.61368,9263.765804
45,25310,2252,53.09999,23.17718,76.27717,9093.070528
56,31895,2802,53.09999,20.425117,73.52511,11719.155458
36,20627,1802,58.799988,25.68377,84.48376,7303.205196
43,23935,2152,58.799988,25.856976,84.65697,8210.810644
33,18730,1652,58.799988,25.853323,84.65331,7219.513223
47,26556,2352,64.75001,16.712427,81.46243,9844.971596
49,28524,2452,64.75001,21.750574,86.50058,9683.804855
44,24768,2202,64.75001,20.288862,85.03887,8889.450687
47,26362,2352,59.70001,24.888462,84.58847,9553.393149
43,24952,2152,59.70001,23.54224,83.24225,8697.591014
37,20794,1852,59.70001,25.832516,85.532524,7745.48905
40,21862,2002,56.200005,20.274227,76.47423,7840.553828
49,28052,2452,56.200005,24.496292,80.6963,9786.147119
50,28645,2502,56.200005,21.22277,77.422775,10024.961731
41,24122,2052,61.249996,22.354795,83.60479,8599.652932
33,19629,1652,61.249996,22.730728,83.98073,7177.2353
39,22496,1952,61.249996,21.99209,83.24209,9284.332502
33,19929,1652,61.30001,24.005537,85.30555,7372.5285
52,30638,2602,61.30001,23.736834,85.03684,10984.998596
26,16043,1302,61.30001,23.096237,84.39625,6345.71621
52,28612,2602,62.700012,22.806349,85.50636,10186.372805
57,33932,2852,62.700012,28.096523,90.79654,12665.33706
48,27037,2402,62.700012,22.565308,85.26532,9382.386512
63,34812,3152,56.249992,21.969555,78.21954,12831.719885
37,21419,1852,56.249992,23.717335,79.96733,7890.596477
45,26068,2252,56.249992,20.695654,76.94565,9097.077769
56,31024,2802,58.5,27.608978,86.10898,11504.644957
47,27010,2352,58.5,25.773237,84.27324,9066.727044
40,23701,2002,58.5,25.248013,83.74802,7793.755179
27,15681,1352,61.2,23.728148,84.92815,6128.964416
53,31327,2652,61.2,22.62505,83.82505,11063.743096
44,25824,2202,61.2,27.499704,88.69971,8848.923285
118,64696,5902,58.250008,23.145233,81.39524,31999.443142
54,29659,2702,58.250008,20.26232,78.51233,10515.557995
51,29934,2552,58.250008,24.053614,82.30362,10793.565455
43,24690,2152,56.5,25.86717,82.36717,9448.218062
41,22930,2052,56.5,23.90778,80.407776,8157.814521
39,23244,1952,56.5,24.919676,81.41968,8028.746408
37,24900,1852,50.600002,25.642096,76.242096,8336.111527
56,33948,2802,50.600002,24.064299,74.6643,11937.372523
55,30907,2752,50.600002,20.02934,70.62934,11358.725261
37,22224,1852,58.35,17.53525,75.88525,7874.0291
41,23940,2052,58.35,23.852139,82.20213,8679.063729
31,18657,1552,58.35,19.655964,78.00597,6645.883702
27,16037,1352,51,24.5773,75.5773,6178.461462
34,20050,1702,51,19.182285,70.18228,6897.961144
36,21948,1802,51,24.313564,75.31357,8108.008319
39,21988,1952,52.69999,23.084991,75.78498,7529.979227
37,21171,1852,52.69999,25.561445,78.26144,7189.461725
53,30068,2652,52.69999,22.867899,75.56789,10968.839233
51,29542,2552,50.25,20.92094,71.170944,9890.443979
63,34377,3152,50.25,22.46768,72.71768,12661.775364
47,27673,2352,50.25,21.757332,72.00733,9296.517054
46,24377,2302,53.04999,25.427643,78.47763,9523.449158
43,24252,2152,53.04999,24.421396,77.47139,8849.388229
31,19515,1552,53.04999,24.741512,77.791504,6750.357887
60,33123,3002,47.200005,19.902472,67.10248,11780.704159
34,19984,1702,47.200005,24.349157,71.549164,7205.417493
43,24974,2152,47.200005,24.710476,71.91048,8625.563566
45,25287,2252,58.950005,22.782738,81.73274,9475.536318
46,26179,2302,58.950005,30.10986,89.05986,9710.07718
42,23194,2102,58.950005,21.940495,80.8905,8441.605763
46,26715,2302,54.60001,25.204357,79.80437,10033.534014
32,20384,1602,54.60001,25.181145,79.78116,6941.524841
42,23257,2102,54.60001,22.556456,77.15646,8728.967511
