38,21769,1901,30.571999,20.821568,51.393566,11677.462032,
57,30490,2852,61.25139,0.0,61.25139,17421.722483,
60,32225,3001,79.821236,6.378022,86.19926,24983.863847,
51,27374,2551,50.348988,0.0,50.348988,18717.011404,
54,29406,2701,63.65261,7.8398438,71.492455,20677.397021,
51,27416,2551,57.494648,0.0,57.494648,18238.697921,
58,31373,2902,66.95558,4.987858,71.943436,23899.853723,
26,14474,1301,22.244076,20.56225,42.806328,6342.387493,
41,22219,2051,39.169212,21.035915,60.205128,13485.139252,
27,14463,1351,28.58011,18.146397,46.72651,7357.360405,
44,25004,2201,42.123684,0.2726746,42.39636,14713.519863,
